Title,Author,Rating,Rating Count,Genres
Book Lovers,Emily Henry,4.17,834274,"['Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Audiobook', 'Adult', 'Chick Lit']"
Every Summer After,Carley Fortune,4.25,407158,"['Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Audiobook', 'Adult', 'Chick Lit']"
Remarkably Bright Creatures,Shelby Van Pelt,4.43,297828,"['Fiction', 'Audiobook', 'Contemporary', 'Mystery', 'Magical Realism', 'Animals', 'Literary Fiction']"
Sea of Tranquility,Emily St. John Mandel,4.1,183986,"['Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Historical Fiction', 'Audiobook', 'Literary Fiction']"
Under One Roof,Ali Hazelwood,3.68,127216,"['Romance', 'Contemporary', 'Novella', 'Contemporary Romance', 'Audiobook', 'Fiction', 'Adult']"
Hello Stranger,Katherine Center,4.08,24241,"['Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Audiobook', 'Adult']"
Immortal Longings,Chloe Gong,3.65,5465,"['Fantasy', 'Romance', 'Adult', 'Retellings', 'Historical Fiction', 'Fiction', 'Historical']"
A Soul of Ash and Blood,Jennifer L. Armentrout,4.06,21247,"['Fantasy', 'Romance', 'Fantasy Romance', 'Vampires', 'Adult', 'Paranormal', 'New Adult']"
Everyone Here Is Lying,Shari Lapena,3.98,13183,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Audiobook', 'Adult']"
Silver Nitrate,Silvia Moreno-Garcia,3.79,3927,"['Horror', 'Historical Fiction', 'Fiction', 'Thriller', 'Mystery', 'Fantasy', 'Adult']"
The Deep Sky,Yume Kitasei,3.82,1315,"['Science Fiction', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Adult', 'Space']"
The Summer Girl,Elle Kennedy,4.05,6759,"['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Audiobook', 'Fiction', 'Chick Lit']"
Business or Pleasure,Rachel Lynn Solomon,3.93,7696,"['Romance', 'Contemporary', 'Contemporary Romance', 'Adult', 'Fiction', 'Audiobook', 'Chick Lit']"
Ripe,Sarah Rose Etter,3.79,2421,"['Fiction', 'Contemporary', 'Literary Fiction', 'Science Fiction', 'Dystopia', 'Adult', 'Audiobook']"
Forget Me Not,Julie Soto,4.13,8113,"['Romance', 'Contemporary', 'Contemporary Romance', 'Adult', 'Fiction', 'Audiobook', 'Chick Lit']"
The Block Party,Jamie Day,3.76,4817,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Contemporary']"
Her Little Flowers,Shannon  Morgan,3.89,550,"['Horror', 'Gothic', 'Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Adult']"
